"개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","전화번호","소재지면적","소재지우편번호","지번주소","도로명주소","도로명우편번호","사업장명","최종수정일자","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(X)","좌표정보(Y)","축산업무구분명","축산물가공업구분명","축산일련번호","권리주체일련번호","총인원"
"3050000","305000001020250002","2025-03-04","","01","영업/정상","0000","정상","","","","","","","","서울특별시 동대문구 이문동 257-42 래미안라그란데아파트","서울특별시 동대문구 이문로35길 12, 상가 A동 101호 (이문동, 래미안라그란데아파트)","02404","아이랑 동물병원","2025-03-04 10:35:04","I","2024-12-03 00:06:00.0","","205249.265435832","455308.651763587","","","","",""
"3240000","324000001020250002","2025-02-18","","01","영업/정상","0000","정상","","","","","02-2135-8833","0","","서울특별시 강동구 둔촌동 170-1 포레온스테이션5","서울특별시 강동구 양재대로 1360, 포레온스테이션5 2층 2029호 (둔촌동)","05409","포레온 동물병원","2025-03-07 10:24:19","U","2024-12-03 00:09:00.0","","212195.109947109","447197.273286818","","","","",""
"3230000","323000001020250002","2025-02-10","","01","영업/정상","0000","정상","","","","","02-6478-7575","","","서울특별시 송파구 문정동 115-12","서울특별시 송파구 송이로 244, 1층 (문정동)","05800","한수동물병원","2025-03-07 15:19:01","U","2024-12-03 00:09:00.0","","211585.501242193","442816.765898197","","","","",""
"3220000","322000001020250002","2025-03-11","","01","영업/정상","0000","정상","","","","","02-6204-7511","","","서울특별시 강남구 역삼동 799-25 성우빌딩 2층","서울특별시 강남구 도곡로 167, 성우빌딩 2층 (역삼동)","06256","원성준영상의학과동물병원","2025-03-11 16:01:26","I","2024-12-02 23:03:00.0","","203285.044272499","443285.630755972","","","","",""
"3240000","324000001020030001","2003-05-30","","01","영업/정상","0000","정상","","","","","02-442-7772","84.95","","","서울특별시 강동구 구천면로 498-1 (명일동)","05271","두루동물병원","2025-03-11 13:09:11","U","2024-12-02 23:03:00.0","","213510.67624499","449651.323226599","","","","",""
"3140000","314000001020190002","2019-08-28","","01","영업/정상","0000","정상","","","","","02-2642-7588","0","","서울특별시 양천구 신정동 982-4 M1~2층","서울특별시 양천구 신월로 355(신정동)","08021","우리들동물메디컬센터","2025-03-13 10:21:37","U","2024-12-02 23:05:00.0","","187597.062750911","446687.543698413","","","","",""
"3030000","303000001020160006","2016-11-22","","01","영업/정상","0000","정상","","","","","02-468-7975","25.89","","서울특별시 성동구 성수동1가 706 쌍용아파트상가B동 107호","서울특별시 성동구 상원길 59, 쌍용아파트상가B동 107호 (성수동1가)","04788","포레동물병원","2025-03-13 16:29:33","U","2024-12-02 23:05:00.0","","204093.39625466","449695.084129637","","","","",""
"3100000","310000001020200001","2020-02-04","","01","영업/정상","0000","정상","","","","","02-971-5955","0","","서울특별시 노원구 공릉동 596-5","서울특별시 노원구 동일로 1014, 1층, 2층 (공릉동)","01848","골드퍼피동물병원 공릉점","2025-03-14 14:04:40","U","2024-12-02 23:06:00.0","","206546.734710454","457584.835793045","","","","",""
"3060000","306000001020250001","2025-03-20","","01","영업/정상","0000","정상","","","","","02-2038-7533","75","","서울특별시 중랑구 상봉동 74-43","서울특별시 중랑구 망우로 373, 1층 (상봉동)","02086","모루 동물의료센터","2025-03-20 17:09:34","I","2024-12-02 22:02:00.0","","208199.991565216","455149.744971697","","","","",""
"3020000","302000001020250001","2025-03-12","","01","영업/정상","0000","정상","","","","","02-6085-4777","","","서울특별시 용산구 한남동 828 한남아이파크","서울특별시 용산구 독서당로 46, 111호 (한남동, 한남아이파크)","04410","한남심장내과동물병원","2025-03-20 10:38:18","U","2024-12-02 22:02:00.0","","200571.725921493","447793.924058853","","","","",""
